"nationality","year","nationality_total","dest_state","state_nationality_received","dest_city","city_nationality_received","total"
"Afghanistan",2015,"1,168","Arizona","37","Glendale","9","66,517"
"Afghanistan",2015,"1,168","Arizona","37","Phoenix","24","66,517"
"Afghanistan",2015,"1,168","Arizona","37","Tucson","4","66,517"
"Afghanistan",2015,"1,168","California","268","Antelope","4","66,517"
"Afghanistan",2015,"1,168","California","268","Chula Vista","4","66,517"
"Afghanistan",2015,"1,168","California","268","Davis","1","66,517"
"Afghanistan",2015,"1,168","California","268","Fontana","6","66,517"
"Afghanistan",2015,"1,168","California","268","Fullerton","1","66,517"
"Afghanistan",2015,"1,168","California","268","Garden Grove","1","66,517"
"Afghanistan",2015,"1,168","California","268","Glendale","3","66,517"
"Afghanistan",2015,"1,168","California","268","Hayward","3","66,517"
"Afghanistan",2015,"1,168","California","268","Irvine","4","66,517"
"Afghanistan",2015,"1,168","California","268","Lancaster","5","66,517"
"Afghanistan",2015,"1,168","California","268","Los Angeles","8","66,517"
"Afghanistan",2015,"1,168","California","268","Modesto","11","66,517"
"Afghanistan",2015,"1,168","California","268","Oakland","19","66,517"
"Afghanistan",2015,"1,168","California","268","Rosemead","5","66,517"
"Afghanistan",2015,"1,168","California","268","Sacramento","88","66,517"
"Afghanistan",2015,"1,168","California","268","San Diego","93","66,517"
"Afghanistan",2015,"1,168","California","268","San Jose","1","66,517"
"Afghanistan",2015,"1,168","California","268","Turlock","4","66,517"
"Afghanistan",2015,"1,168","California","268","Walnut Creek","2","66,517"
"Afghanistan",2015,"1,168","California","268","Winnetka","5","66,517"
"Afghanistan",2015,"1,168","Colorado","20","Colorado Springs","10","66,517"
"Afghanistan",2015,"1,168","Colorado","20","Denver","10","66,517"
"Afghanistan",2015,"1,168","Connecticut","11","Hartford","7","66,517"
"Afghanistan",2015,"1,168","Connecticut","11","New Haven","4","66,517"
"Afghanistan",2015,"1,168","Florida","19","Clearwater","1","66,517"
"Afghanistan",2015,"1,168","Florida","19","Jacksonville","13","66,517"
"Afghanistan",2015,"1,168","Florida","19","Tampa","5","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Atlanta","26","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Clarkston","4","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Decatur","2","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Savannah","3","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Snellville","1","66,517"
"Afghanistan",2015,"1,168","Georgia","37","Tucker","1","66,517"
"Afghanistan",2015,"1,168","Idaho","26","Boise","15","66,517"
"Afghanistan",2015,"1,168","Idaho","26","Meridian","1","66,517"
"Afghanistan",2015,"1,168","Idaho","26","Twin Falls","10","66,517"
"Afghanistan",2015,"1,168","Illinois","48","Aurora","2","66,517"
"Afghanistan",2015,"1,168","Illinois","48","Chicago","37","66,517"
"Afghanistan",2015,"1,168","Illinois","48","Rock Island","1","66,517"
"Afghanistan",2015,"1,168","Illinois","48","Rockford","8","66,517"
"Afghanistan",2015,"1,168","Kansas","6","Wichita","6","66,517"
"Afghanistan",2015,"1,168","Kentucky","14","Louisville","14","66,517"
"Afghanistan",2015,"1,168","Louisiana","6","Baton Rouge","6","66,517"
"Afghanistan",2015,"1,168","Maine","3","New Sweden","3","66,517"
"Afghanistan",2015,"1,168","Maryland","19","Baltimore","6","66,517"
"Afghanistan",2015,"1,168","Maryland","19","Riverdale","3","66,517"
"Afghanistan",2015,"1,168","Maryland","19","Silver Spring","10","66,517"
