"dest_state","year","state_total_received","nationality","state_nationality_received","dest_city","city_nationality_received","total"
"Alabama",2016,"120","Afghanistan","9","Mobile","9","96,874"
"Alabama",2016,"120","Burma","2","Mobile","2","96,874"
"Alabama",2016,"120","Central African Republic","5","Mobile","5","96,874"
"Alabama",2016,"120","Colombia","2","Mobile","2","96,874"
"Alabama",2016,"120","Cuba","2","Mobile","2","96,874"
"Alabama",2016,"120","Dem. Rep. Congo","54","Mobile","54","96,874"
"Alabama",2016,"120","Iraq","23","Mobile","23","96,874"
"Alabama",2016,"120","Pakistan","4","Mobile","4","96,874"
"Alabama",2016,"120","Rwanda","6","Mobile","6","96,874"
"Alabama",2016,"120","Somalia","11","Mobile","11","96,874"
"Alabama",2016,"120","Sudan","2","Mobile","2","96,874"
"Alaska",2016,"112","Bhutan","6","Anchorage","6","96,874"
"Alaska",2016,"112","Burma","4","Anchorage","4","96,874"
"Alaska",2016,"112","Dem. Rep. Congo","24","Anchorage","24","96,874"
"Alaska",2016,"112","Eritrea","7","Anchorage","7","96,874"
"Alaska",2016,"112","Ethiopia","6","Anchorage","6","96,874"
"Alaska",2016,"112","Iraq","1","Anchorage","1","96,874"
"Alaska",2016,"112","Republic of South Sudan","4","Anchorage","4","96,874"
"Alaska",2016,"112","Russia","6","Wasilla","6","96,874"
"Alaska",2016,"112","Somalia","31","Anchorage","31","96,874"
"Alaska",2016,"112","Sudan","1","Anchorage","1","96,874"
"Alaska",2016,"112","Ukraine","22","Anchorage","1","96,874"
"Alaska",2016,"112","Ukraine","22","Sterling","5","96,874"
"Alaska",2016,"112","Ukraine","22","Wasilla","16","96,874"
"Arizona",2016,"4,829","Afghanistan","191","Glendale","19","96,874"
"Arizona",2016,"4,829","Afghanistan","191","Phoenix","125","96,874"
"Arizona",2016,"4,829","Afghanistan","191","Tucson","47","96,874"
"Arizona",2016,"4,829","Bhutan","34","Glendale","15","96,874"
"Arizona",2016,"4,829","Bhutan","34","Phoenix","12","96,874"
"Arizona",2016,"4,829","Bhutan","34","Tucson","7","96,874"
"Arizona",2016,"4,829","Burma","242","Glendale","116","96,874"
"Arizona",2016,"4,829","Burma","242","Phoenix","125","96,874"
"Arizona",2016,"4,829","Burma","242","Tucson","1","96,874"
"Arizona",2016,"4,829","Burundi","92","Glendale","1","96,874"
"Arizona",2016,"4,829","Burundi","92","Phoenix","16","96,874"
"Arizona",2016,"4,829","Burundi","92","Tucson","75","96,874"
"Arizona",2016,"4,829","Cameroon","5","Phoenix","4","96,874"
"Arizona",2016,"4,829","Cameroon","5","Tucson","1","96,874"
"Arizona",2016,"4,829","Central African Republic","42","Glendale","6","96,874"
"Arizona",2016,"4,829","Central African Republic","42","Phoenix","36","96,874"
"Arizona",2016,"4,829","Chad","5","Tucson","5","96,874"
"Arizona",2016,"4,829","Colombia","5","Glendale","1","96,874"
"Arizona",2016,"4,829","Colombia","5","Tucson","4","96,874"
"Arizona",2016,"4,829","Congo","1","Tucson","1","96,874"
"Arizona",2016,"4,829","Cuba","6","Glendale","1","96,874"
"Arizona",2016,"4,829","Cuba","6","Phoenix","2","96,874"
"Arizona",2016,"4,829","Cuba","6","Tucson","3","96,874"
"Arizona",2016,"4,829","Dem. Rep. Congo","1,608","Avondale","1","96,874"
"Arizona",2016,"4,829","Dem. Rep. Congo","1,608","Glendale","398","96,874"
"Arizona",2016,"4,829","Dem. Rep. Congo","1,608","Phoenix","679","96,874"
"Arizona",2016,"4,829","Dem. Rep. Congo","1,608","Tucson","530","96,874"
"Arizona",2016,"4,829","Eritrea","117","Glendale","18","96,874"
"Arizona",2016,"4,829","Eritrea","117","Phoenix","54","96,874"
"Arizona",2016,"4,829","Eritrea","117","Tucson","45","96,874"
"Arizona",2016,"4,829","Ethiopia","67","Glendale","16","96,874"
"Arizona",2016,"4,829","Ethiopia","67","Mesa","2","96,874"
"Arizona",2016,"4,829","Ethiopia","67","Phoenix","35","96,874"
"Arizona",2016,"4,829","Ethiopia","67","Tucson","14","96,874"
"Arizona",2016,"4,829","Iran","72","Glendale","18","96,874"
"Arizona",2016,"4,829","Iran","72","Mesa","3","96,874"
"Arizona",2016,"4,829","Iran","72","Phoenix","45","96,874"
"Arizona",2016,"4,829","Iran","72","Scottsdale","2","96,874"
"Arizona",2016,"4,829","Iran","72","Tucson","4","96,874"
