"nationality","year","nationality_total","dest_state","state_nationality_received","dest_city","city_nationality_received","total"
"Afghanistan",2019,"1,364","Arizona","97","Glendale",42,"27,514"
"Afghanistan",2019,"1,364","Arizona","97","Phoenix",30,"27,514"
"Afghanistan",2019,"1,364","Arizona","97","Tucson",25,"27,514"
"Afghanistan",2019,"1,364","California","326","Carmichael",11,"27,514"
"Afghanistan",2019,"1,364","California","326","El Cajon",1,"27,514"
"Afghanistan",2019,"1,364","California","326","Fullerton",2,"27,514"
"Afghanistan",2019,"1,364","California","326","Glendale",18,"27,514"
"Afghanistan",2019,"1,364","California","326","Los Angeles",1,"27,514"
"Afghanistan",2019,"1,364","California","326","Los Gatos",2,"27,514"
"Afghanistan",2019,"1,364","California","326","Oakland",11,"27,514"
"Afghanistan",2019,"1,364","California","326","Sacramento",147,"27,514"
"Afghanistan",2019,"1,364","California","326","San Diego",68,"27,514"
"Afghanistan",2019,"1,364","California","326","Saugus",3,"27,514"
"Afghanistan",2019,"1,364","California","326","Turlock",57,"27,514"
"Afghanistan",2019,"1,364","California","326","Walnut Creek",5,"27,514"
"Afghanistan",2019,"1,364","Colorado","28","Denver",6,"27,514"
"Afghanistan",2019,"1,364","Colorado","28","Lakewood",22,"27,514"
"Afghanistan",2019,"1,364","Connecticut","20","Bridgeport",5,"27,514"
"Afghanistan",2019,"1,364","Connecticut","20","New Haven",15,"27,514"
"Afghanistan",2019,"1,364","Florida","12","Clearwater",2,"27,514"
"Afghanistan",2019,"1,364","Florida","12","Jacksonville",7,"27,514"
"Afghanistan",2019,"1,364","Florida","12","Tampa",3,"27,514"
"Afghanistan",2019,"1,364","Georgia","108","Atlanta",96,"27,514"
"Afghanistan",2019,"1,364","Georgia","108","Norcross",3,"27,514"
"Afghanistan",2019,"1,364","Georgia","108","Savannah",1,"27,514"
"Afghanistan",2019,"1,364","Georgia","108","Stone Mountain",4,"27,514"
"Afghanistan",2019,"1,364","Georgia","108","Tucker",4,"27,514"
"Afghanistan",2019,"1,364","Idaho","21","Boise",21,"27,514"
"Afghanistan",2019,"1,364","Illinois","24","Carol Stream",3,"27,514"
"Afghanistan",2019,"1,364","Illinois","24","Chicago",21,"27,514"
"Afghanistan",2019,"1,364","Indiana","1","Shoals",1,"27,514"
"Afghanistan",2019,"1,364","Kansas","4","Wichita",4,"27,514"
"Afghanistan",2019,"1,364","Kentucky","11","Louisville",11,"27,514"
"Afghanistan",2019,"1,364","Maine","1","Portland",1,"27,514"
"Afghanistan",2019,"1,364","Maryland","94","Baltimore",24,"27,514"
"Afghanistan",2019,"1,364","Maryland","94","Hyattsville",14,"27,514"
"Afghanistan",2019,"1,364","Maryland","94","Riverdale",20,"27,514"
"Afghanistan",2019,"1,364","Maryland","94","Silver Spring",36,"27,514"
"Afghanistan",2019,"1,364","Massachusetts","24","Florence",4,"27,514"
"Afghanistan",2019,"1,364","Massachusetts","24","Gloucester",4,"27,514"
"Afghanistan",2019,"1,364","Massachusetts","24","Springfield",10,"27,514"
"Afghanistan",2019,"1,364","Massachusetts","24","Waltham",2,"27,514"
"Afghanistan",2019,"1,364","Massachusetts","24","Worcester",4,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Ann Arbor",19,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Dearborn",42,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Grand Rapids",16,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Kalamazoo",3,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Lansing",4,"27,514"
"Afghanistan",2019,"1,364","Michigan","85","Troy",1,"27,514"
"Afghanistan",2019,"1,364","Missouri","32","Saint Louis",32,"27,514"
"Afghanistan",2019,"1,364","Nebraska","3","Omaha",3,"27,514"
"Afghanistan",2019,"1,364","Nevada","19","Las Vegas",19,"27,514"
"Afghanistan",2019,"1,364","New Jersey","11","Highland Park",7,"27,514"
"Afghanistan",2019,"1,364","New Jersey","11","Pennsauken",4,"27,514"
"Afghanistan",2019,"1,364","New Mexico","15","Albuquerque",15,"27,514"
"Afghanistan",2019,"1,364","New York","117","Albany",27,"27,514"
"Afghanistan",2019,"1,364","New York","117","Buffalo",32,"27,514"
"Afghanistan",2019,"1,364","New York","117","New York",8,"27,514"
"Afghanistan",2019,"1,364","New York","117","Rochester",14,"27,514"
"Afghanistan",2019,"1,364","New York","117","Syracuse",3,"27,514"
"Afghanistan",2019,"1,364","New York","117","Watervliet",33,"27,514"
"Afghanistan",2019,"1,364","North Carolina","37","Charlotte",8,"27,514"
"Afghanistan",2019,"1,364","North Carolina","37","High Point",4,"27,514"
"Afghanistan",2019,"1,364","North Carolina","37","New Bern",6,"27,514"
"Afghanistan",2019,"1,364","North Carolina","37","Raleigh",19,"27,514"
"Afghanistan",2019,"1,364","North Dakota","10","Fargo",10,"27,514"
"Afghanistan",2019,"1,364","Ohio","4","Akron",3,"27,514"
"Afghanistan",2019,"1,364","Ohio","4","Columbus",1,"27,514"
"Afghanistan",2019,"1,364","Pennsylvania","41","Jenkintown",2,"27,514"
"Afghanistan",2019,"1,364","Pennsylvania","41","Lancaster",17,"27,514"
"Afghanistan",2019,"1,364","Pennsylvania","41","Philadelphia",5,"27,514"
"Afghanistan",2019,"1,364","Pennsylvania","41","Pittsburgh",17,"27,514"
"Afghanistan",2019,"1,364","Tennessee","6","Chattanooga",5,"27,514"
"Afghanistan",2019,"1,364","Tennessee","6","Memphis",1,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Austin",4,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Cypress",1,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Dallas",35,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Fair Oaks Ranch",1,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Fort Worth",14,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Houston",32,"27,514"
"Afghanistan",2019,"1,364","Texas","91","Saginaw",1,"27,514"
"Afghanistan",2019,"1,364","Texas","91","San Antonio",3,"27,514"
"Afghanistan",2019,"1,364","Utah","10","Salt Lake City",9,"27,514"
"Afghanistan",2019,"1,364","Utah","10","South Salt Lake",1,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Charlottesville",27,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Fairfax",5,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Manassas",6,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Newport News",3,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Reston",1,"27,514"
"Afghanistan",2019,"1,364","Virginia","75","Richmond",33,"27,514"
"Afghanistan",2019,"1,364","Washington","33","Kent",9,"27,514"
"Afghanistan",2019,"1,364","Washington","33","Seatac",8,"27,514"
