"nationality","year","nationality_total","dest_state","state_nationality_received","dest_city","city_nationality_received","total"
"Afghanistan",2016,"2,930","Alabama","9","Mobile","9","96,874"
"Afghanistan",2016,"2,930","Arizona","191","Glendale","19","96,874"
"Afghanistan",2016,"2,930","Arizona","191","Phoenix","125","96,874"
"Afghanistan",2016,"2,930","Arizona","191","Tucson","47","96,874"
"Afghanistan",2016,"2,930","California","442","Auburn","1","96,874"
"Afghanistan",2016,"2,930","California","442","Buena Park","1","96,874"
"Afghanistan",2016,"2,930","California","442","Canoga Park","3","96,874"
"Afghanistan",2016,"2,930","California","442","Corona","1","96,874"
"Afghanistan",2016,"2,930","California","442","Fremont","2","96,874"
"Afghanistan",2016,"2,930","California","442","Fullerton","4","96,874"
"Afghanistan",2016,"2,930","California","442","Glendale","16","96,874"
"Afghanistan",2016,"2,930","California","442","Irvine","4","96,874"
"Afghanistan",2016,"2,930","California","442","Los Angeles","9","96,874"
"Afghanistan",2016,"2,930","California","442","Oakland","6","96,874"
"Afghanistan",2016,"2,930","California","442","Sacramento","104","96,874"
"Afghanistan",2016,"2,930","California","442","San Diego","154","96,874"
"Afghanistan",2016,"2,930","California","442","San Jose","26","96,874"
"Afghanistan",2016,"2,930","California","442","Santa Clarita","8","96,874"
"Afghanistan",2016,"2,930","California","442","Tracy","15","96,874"
"Afghanistan",2016,"2,930","California","442","Turlock","87","96,874"
"Afghanistan",2016,"2,930","California","442","Winnetka","1","96,874"
"Afghanistan",2016,"2,930","Colorado","43","Denver","36","96,874"
"Afghanistan",2016,"2,930","Colorado","43","Highlands Ranch","7","96,874"
"Afghanistan",2016,"2,930","Connecticut","38","Hartford","18","96,874"
"Afghanistan",2016,"2,930","Connecticut","38","New Haven","20","96,874"
"Afghanistan",2016,"2,930","District of Columbia","4","Washington","4","96,874"
"Afghanistan",2016,"2,930","Florida","77","Clearwater","6","96,874"
"Afghanistan",2016,"2,930","Florida","77","Doral","15","96,874"
"Afghanistan",2016,"2,930","Florida","77","Jacksonville","16","96,874"
"Afghanistan",2016,"2,930","Florida","77","Tallahassee","2","96,874"
"Afghanistan",2016,"2,930","Florida","77","Tampa","38","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Atlanta","64","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Clarkston","1","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Duluth","1","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Grayson","7","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Lawrenceville","1","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Savannah","34","96,874"
"Afghanistan",2016,"2,930","Georgia","119","Stone Mountain","11","96,874"
