dest_state,year,state_total_received,nationality,state_nationality_received,dest_city,city_nationality_received,total
Alabama,2015,97,Burma,14,Birmingham,1,66517
Alabama,2015,97,Burma,14,Mobile,13,66517
Alabama,2015,97,Colombia,8,Mobile,8,66517
Alabama,2015,97,Dem. Rep. Congo,42,Mobile,42,66517
Alabama,2015,97,Ethiopia,1,Guntersville,1,66517
Alabama,2015,97,Iran,5,Mobile,5,66517
Alabama,2015,97,Iraq,16,Mobile,16,66517
Alabama,2015,97,Somalia,10,Mobile,10,66517
Alabama,2015,97,Sudan,1,Mobile,1,66517
Alaska,2015,110,Bhutan,4,Anchorage,4,66517
Alaska,2015,110,Burma,17,Anchorage,17,66517
Alaska,2015,110,Dem. Rep. Congo,6,Anchorage,6,66517
Alaska,2015,110,Eritrea,8,Anchorage,8,66517
Alaska,2015,110,Ethiopia,2,Anchorage,2,66517
Alaska,2015,110,Iraq,2,Anchorage,2,66517
Alaska,2015,110,Russia,1,Fairbanks,1,66517
Alaska,2015,110,Rwanda,6,Anchorage,6,66517
Alaska,2015,110,Somalia,46,Anchorage,46,66517
Alaska,2015,110,Sudan,10,Anchorage,10,66517
Alaska,2015,110,Ukraine,7,Anchorage,3,66517
Alaska,2015,110,Ukraine,7,Wasilla,4,66517
Alaska,2015,110,Uzbekistan,1,Anchorage,1,66517
Arizona,2015,2960,Afghanistan,37,Glendale,9,66517
Arizona,2015,2960,Afghanistan,37,Phoenix,24,66517
Arizona,2015,2960,Afghanistan,37,Tucson,4,66517
Arizona,2015,2960,Bhutan,61,Glendale,27,66517
Arizona,2015,2960,Bhutan,61,Phoenix,12,66517
Arizona,2015,2960,Bhutan,61,Tucson,22,66517
Arizona,2015,2960,Burma,437,Flagstaff,1,66517
Arizona,2015,2960,Burma,437,Glendale,213,66517
Arizona,2015,2960,Burma,437,Phoenix,212,66517
Arizona,2015,2960,Burma,437,Tucson,11,66517
Arizona,2015,2960,Burundi,166,Glendale,19,66517
Arizona,2015,2960,Burundi,166,Phoenix,20,66517
Arizona,2015,2960,Burundi,166,Tucson,127,66517
Arizona,2015,2960,Cameroon,1,Tucson,1,66517
Arizona,2015,2960,Central African Republic,1,Glendale,1,66517
Arizona,2015,2960,Chad,3,Tucson,3,66517
Arizona,2015,2960,China,1,Glendale,1,66517
Arizona,2015,2960,Colombia,15,Glendale,14,66517
Arizona,2015,2960,Colombia,15,Phoenix,1,66517
Arizona,2015,2960,Cuba,36,Glendale,18,66517
Arizona,2015,2960,Cuba,36,Phoenix,12,66517
Arizona,2015,2960,Cuba,36,Tucson,6,66517
Arizona,2015,2960,Dem. Rep. Congo,696,Glendale,127,66517
Arizona,2015,2960,Dem. Rep. Congo,696,Phoenix,279,66517
Arizona,2015,2960,Dem. Rep. Congo,696,Tucson,290,66517
Arizona,2015,2960,Equatorial Guinea,2,Tucson,2,66517
Arizona,2015,2960,Eritrea,120,Glendale,17,66517
Arizona,2015,2960,Eritrea,120,Phoenix,34,66517
Arizona,2015,2960,Eritrea,120,Tucson,69,66517
Arizona,2015,2960,Ethiopia,38,Glendale,4,66517
Arizona,2015,2960,Ethiopia,38,Phoenix,18,66517
Arizona,2015,2960,Ethiopia,38,Tucson,16,66517
Arizona,2015,2960,Iran,53,Chandler,1,66517
Arizona,2015,2960,Iran,53,Glendale,9,66517
Arizona,2015,2960,Iran,53,Mesa,2,66517
Arizona,2015,2960,Iran,53,Phoenix,31,66517
Arizona,2015,2960,Iran,53,Scottsdale,1,66517
Arizona,2015,2960,Iran,53,Surprise,3,66517
Arizona,2015,2960,Iran,53,Tempe,4,66517
Arizona,2015,2960,Iran,53,Tucson,2,66517
Arizona,2015,2960,Iraq,442,Buckeye,1,66517
Arizona,2015,2960,Iraq,442,Chandler,6,66517
Arizona,2015,2960,Iraq,442,Glendale,177,66517
Arizona,2015,2960,Iraq,442,Mesa,11,66517
Arizona,2015,2960,Iraq,442,Phoenix,149,66517
Arizona,2015,2960,Iraq,442,Scottsdale,4,66517
Arizona,2015,2960,Iraq,442,Sierra Vista,5,66517
Arizona,2015,2960,Iraq,442,Tucson,89,66517
